# Consolidated INTERNAL redirects (replaces per-page #REDIRECT stub files).
# Format: <source page title><TAB><target page title>. One redirect per line.
# Lines starting with '#' and blank lines are ignored. Sorted by source.
# Editable by content maintainers; the static generator reads this at build.
2FA	Moved:Two-factor_authentication_2FA
Dev/Versioning Format Conventions	Moved:Versioning_Format_Conventions
Dev/VirusForget	Moved:VirusForget
Dev/Warrant Canary Draft	Moved:Warrant_Canary_Draft
Dev/Web Backend	Moved:About_Infrastructure
Dev/Whonix Networking	Dev/Project_Networking
Dev/Whonix-Windows-Installer	Dev/Windows Installer
Dev/Windows User Interface	Dev/Windows Starter
Dev/advertising	Moved:advertising
Dev/bash	Moved:bash
Dev/boot modes	Moved:boot_modes
Dev/cloud	Moved:Dev_cloud
Dev/coding style	Moved:coding_style
Dev/curl bash pipe	Moved:curl_bash_pipe
Dev/emergency-news	Moved:Project-news
Dev/git	Moved:git
Dev/grsecurity	Moved:grsecurity
Dev/mediawiki	Moved:Dev_mediawiki
Dev/mobile	Moved:Mobile
Dev/nonfree	Moved:nonfree
Dev/pdt	Moved:Permanent Takedown Attack Defender
Dev/project-news	Moved:project-news
Dev/ptt	Moved:Permanent Takedown Attack Defender
Dev/remount-secure	Moved:remount-secure
Dev/sdwdate	Moved:dev_sdwdate
Dev/systemcheck	Moved:Dev/systemcheck
Dev/website	Moved:dev_website
Dev/whonixsetup	Dev/setup-dist
Dev/wiki	Moved:dev_wiki
Dev/yubikey	Moved:yubikey
Disable TCP and ICMP Timestamps	Moved:Disable_TCP_and_ICMP_Timestamps
Disclaimer	Terms of Service
DoNot	Tips_on_Remaining_Anonymous
Donate Bitcoin	Donate/Bitcoin
Donate Ethereum	Donate/Ethereum
Donate Monero	Donate/Monero
Donate by Affiliate Link	Donate/Affiliate Link
Download Security	Moved:Download_Security
DownloadSecurity	Moved:Download Security
ETH	Ethereum
Edge	Moved:Edge
Email	E-Mail
Encrypted Email with Thunderbird and Enigmail	Encrypted Email with Thunderbird
Encrypted Images	Moved:Encrypted_Images
FAQ2	FAQ
Factory Reset	Moved:Factory_Reset
File:Installationofwhonixusb123143.jpg	File:Usb installation.jpg
File:Monero donate whonix.png	File:Whonix_donate_monero.png
File:Qubes-Whonix-Gateway TemplateVM Qubes VM Manager Settings.png	File:Qubes-Whonix-Gateway Template Qubes VM Manager Settings.png
File:Whonix old logo.png	File:Logo box.png
Firmware Security and Updates	Moved:Firmware_Security_and_Updates
Forcing .onion on Whonix.org	Forcing .onion on Project
Forum Best Practices	Moved:Forum_Best_Practices
Forum Policy	Policy of Website and Chat
Free Support Principle	Self_Support_First_Policy
Freedom Software	Reasons for Freedom Software
Full Disk Encryption	Moved:Full_Disk_Encryption
Ga	Moved:VirtualBox/Guest_Additions#Issue
General Host Security	Moved:Basic Host Security
Google	Moved:Google Chrome Repository Insecurity
Google Chrome Repository Insecurity	Moved:Google_Chrome_Repository_Insecurity
Grow Virtual Harddisk	Moved:Grow_Virtual_Harddisk
Grsecurity	Deprecated/grsecurity
Grub	Moved:grub
Grub-live	Moved:grub-live
Haftungsausschluss	Terms of Service
Hardened Debian	Moved:Kicksecure
Hardened Malloc	Moved:Hardened Malloc
Hardened Malloc Kicksecure	Moved:Hardened_Malloc_Kicksecure
Hardened Malloc/Manual Installation	Moved:Hardened Malloc/Manual Installation
Hardened-kernel	Moved:Hardened-kernel
Hardware Threat Minimization	Moved:Hardware_Threat_Minimization
Hardware Wallet Security	Moved:Hardware_Wallet_Security
Hidden Services	Onion Services
Hide Tor and Whonix from your ISP	Hide Tor from your Internet Service Provider
Higher Screen Resolution	Moved:VirtualBox/Higher Screen Resolution without installing VirtualBox Guest Additions
Host Firewall Basics	Moved:Host_Firewall_Basics
Host Live Mode	Moved:Host_Live_Mode
Host Security	Essential Host Security
Hosting	Hosting Location Hidden Services
Hosting a (private) (obfuscated) bridge or (exit) relay	Host a Bridge or Tor Relay
HostingLocationHiddenServices	Hosting Location Hidden Services
I2p	I2P
ISO	Whonix-Host
Impressum	Imprint
Inspiration	Dev/Inspiration
Installation of Debian based Linux distributions in a folder chroot	Moved:Installation_of_Debian_based_Linux_distributions_in_a_folder_chroot
Ip-check.info	Browser Tests
KVM Testers Only Version	KVM
KVM/Installation Screenshots	KVM/Minimalized_Installation
KVM/Project Signing Key	Main/Project Signing Key
KVM/Verify the virtual machine images using Linux	Verify_the_images_using_Linux
KVM/Verify the virtual machine images using the command line	Verify_the_images_using_Linux
KVM/Whonix Signing Key	Main/Project Signing Key
Keepassxc	Moved:Keepassxc
Kernel	Moved:Kernel
Keyboard Layout	Moved:Keyboard_Layout
Keystroke Deanonymization	Keystroke and Mouse Deanonymization
Keystroke Fingerprinting	Keystroke_and_Mouse_Deanonymization
Kicksecure	Moved:Kicksecure
Kicksecure/About	Moved:Kicksecure/About
Kicksecure/CLI	Moved:Kicksecure/CLI
Kicksecure/Debian	Moved:Kicksecure/Debian
Kicksecure/Download	Moved:Kicksecure/Download
Kicksecure/KVM	Moved:Kicksecure/KVM
Kicksecure/VirtualBox	Moved:Kicksecure/VirtualBox
Kicksecure/XFCE	Moved:Kicksecure/VirtualBox
Kicksecure/chroot	Moved:Kicksecure/chroot
Kicksecure:Copyrights	Copyright
Kloak	Keystroke_and_Mouse_Deanonymization#Kloak
LKRG	Moved:Linux Kernel Runtime Guard LKRG
LeakTests	Dev/Leak Tests
Ledger	Moved:Ledger_Hardware_Wallet
Ledger Hardware Wallet	Moved:Ledger_Hardware_Wallet
Ledger Live Installation with Verification	Moved:Ledger_Live_Installation_with_Verification
Libre Software	Reasons for Freedom Software
License Agreement	Copyright
Limitations on Free Speech on Website and Chat	Moved:Limitations_on_Free_Speech_on_Website_and_Chat
Limitations on Free Speech on Whonix Website	Moved:Limitations on Free Speech on Website and Chat
Limitations on Free Speech on Whonix Website and Whonix Chat	Moved:Limitations on Free Speech on Website and Chat
Linux Kernel Runtime Guard LKRG	Moved:Linux_Kernel_Runtime_Guard_LKRG
Linux Kernel Runtime Guard LKRG/Build Debian Package from Source Code	Moved:Linux_Kernel_Runtime_Guard_LKRG/Build_Debian_Package_from_Source_Code
Linux Kernel Runtime Guard LKRG/Build Debian Package from Source Code/Easy	Moved:Linux_Kernel_Runtime_Guard_LKRG/Build_Debian_Package_from_Source_Code/Easy
Linux Kernel Runtime Guard LKRG/Qubes	Moved:Linux Kernel Runtime Guard LKRG Qubes
Linux User Experience versus Commercial Operating Systems	Moved:Linux_User_Experience_versus_Commercial_Operating_Systems
Login spoofing	Moved:Login_spoofing
Main Page	About
Main Page/de	About
Main/Whonix Signing Key	Main/Project Signing Key
Malware	Moved:Malware_and_Firmware_Trojans
Malware and Firmware Trojans	Moved:Malware_and_Firmware_Trojans
Manually Downloading Tor Browser	Tor Browser/Manual Download
Manually Updating Tor Browser	Tor Browser/Manual Download
MediaWiki:Priority Support	MediaWiki:Plus Support
MediaWiki:Professional Support	MediaWiki:Premium Support
Mental Model	Moved:Mental_Model
Microphone	Moved:Hardware Threat Minimization
Miscellaneous Threats to User Freedom	Moved:Miscellaneous_Threats_to_User_Freedom
Mobile Operating System Comparison	Moved:mobile
Multiple Qubes-Whonix TemplateVMs	Multiple Qubes-Whonix Templates
Multiple Whonix-Gateways	Multiple Whonix-Gateway
Multiple Whonix-Workstations	Multiple Whonix-Workstation
Nested Virtualization	Moved:Nested_Virtualization
Next	Documentation
Non Anonymous NAT Traversal	Moved:Non Anonymous Onion Encryption and NAT Traversal
Non Anonymous Onion Encryption and NAT Traversal	Moved:Non_Anonymous_Onion_Encryption_and_NAT_Traversal
Non-free	Moved:Avoid nonfreedom software
Nonfree	Moved:Avoid nonfreedom software
Nyx	Tor_Controller#Nyx
Official Whonix Online Profiles	Official Online Profiles
Offline Key	Moved:Air Gapped OpenPGP Key
Old Whonix Versions and News	Old Project Versions and News
One Time Pad	Moved:One_Time_Pad
OneVM	UniStation
Onionshare	OnionShare
Open-source Hardware	Moved:Open-source_Hardware
OpenPGP	Moved:OpenPGP
