# Consolidated EXTERNAL redirects (replaces per-page {{#externalredirect:}} stubs).
# Format: <source page title><TAB><absolute https/http URL>. One per line.
# Lines starting with '#' and blank lines are ignored. Sorted by source.
# Editable by content maintainers; the static generator reads this at build.
Moved:Grsecurity	https://www.kicksecure.com/wiki/Dev/grsecurity
Moved:Grub	https://www.kicksecure.com/wiki/Grub
Moved:Grub-live	https://www.kicksecure.com/wiki/Grub-live
Moved:Hardened Malloc	https://www.kicksecure.com/wiki/Hardened_Malloc
Moved:Hardened Malloc Kicksecure	https://www.kicksecure.com/wiki/Hardened_Malloc_Kicksecure
Moved:Hardened Malloc/Manual Installation	https://www.kicksecure.com/wiki/Hardened_Malloc/Manual_Installation
Moved:Hardened-kernel	https://www.kicksecure.com/wiki/Hardened-kernel
Moved:Hardware Threat Minimization	https://www.kicksecure.com/wiki/Hardware_Threat_Minimization
Moved:Hardware Wallet Security	https://www.kicksecure.com/wiki/Hardware_Wallet_Security
Moved:Host Firewall Basics	https://www.kicksecure.com/wiki/Host_Firewall_Basics
Moved:Host Live Mode	https://www.kicksecure.com/wiki/Host_Live_Mode
Moved:Immutable Disk Method on VirtualBox	https://www.kicksecure.com/wiki/VM_Live_Mode/Immutable_Disk_Method_on_VirtualBox
Moved:Install Software	https://www.kicksecure.com/wiki/Install_Software
Moved:Installation of Debian based Linux distributions in a folder chroot	https://www.kicksecure.com/wiki/Installation_of_Debian_based_Linux_distributions_in_a_folder_chroot
Moved:Keepassxc	https://www.kicksecure.com/wiki/Keepassxc
Moved:Kernel	https://www.kicksecure.com/wiki/Kernel
Moved:Keyboard Layout	https://www.kicksecure.com/wiki/Keyboard_Layout
Moved:Keyboard layout	https://www.kicksecure.com/wiki/Keyboard_Layout
Moved:Kicksecure	https://www.kicksecure.com
Moved:Kicksecure-Qubes Security	https://www.kicksecure.com/wiki/Kicksecure-Qubes_Security
Moved:Kicksecure/About	https://www.kicksecure.com/wiki/About
Moved:Kicksecure/CLI	https://www.kicksecure.com/wiki/VirtualBox
Moved:Kicksecure/Debian	https://www.kicksecure.com/wiki/Debian
Moved:Kicksecure/Download	https://www.kicksecure.com/wiki/Download
Moved:Kicksecure/KVM	https://www.kicksecure.com/wiki/KVM
Moved:Kicksecure/VirtualBox	https://www.kicksecure.com/wiki/VirtualBox
Moved:Kicksecure/XFCE	https://www.kicksecure.com/wiki/VirtualBox
Moved:Kicksecure/chroot	https://www.kicksecure.com/wiki/Chroot
Moved:Ledger Hardware Wallet	https://www.kicksecure.com/wiki/Ledger_Hardware_Wallet
Moved:Ledger Live Installation with Verification	https://www.kicksecure.com/wiki/Ledger_Live_Installation_with_Verification
Moved:Licensing	https://www.kicksecure.com/wiki/Dev/Licensing
Moved:Limitations on Free Speech on Website and Chat	https://www.kicksecure.com/wiki/Limitations_on_Free_Speech_on_Website_and_Chat
Moved:Linux Kernel Runtime Guard LKRG	https://www.kicksecure.com/wiki/Linux_Kernel_Runtime_Guard_LKRG
Moved:Linux Kernel Runtime Guard LKRG Qubes	https://www.kicksecure.com/wiki/Linux_Kernel_Runtime_Guard_LKRG/Qubes
Moved:Linux Kernel Runtime Guard LKRG/Build Debian Package from Source Code	https://www.kicksecure.com/wiki/Linux_Kernel_Runtime_Guard_LKRG/Build_Debian_Package_from_Source_Code
